site,month,total
apple.stackexchange.com,2008-07-01,0.0
apple.stackexchange.com,2008-08-01,0.0
apple.stackexchange.com,2008-09-01,16.0
apple.stackexchange.com,2008-10-01,0.0
apple.stackexchange.com,2008-11-01,0.0
apple.stackexchange.com,2008-12-01,4.0
apple.stackexchange.com,2009-01-01,0.0
apple.stackexchange.com,2009-02-01,6.0
apple.stackexchange.com,2009-03-01,0.0
apple.stackexchange.com,2009-04-01,0.0
apple.stackexchange.com,2009-05-01,12.0
apple.stackexchange.com,2009-06-01,8.0
apple.stackexchange.com,2009-07-01,64.0
apple.stackexchange.com,2009-08-01,64.0
apple.stackexchange.com,2009-09-01,36.0
apple.stackexchange.com,2009-10-01,68.0
apple.stackexchange.com,2009-11-01,6.0
apple.stackexchange.com,2009-12-01,10.0
apple.stackexchange.com,2010-01-01,12.0
apple.stackexchange.com,2010-02-01,4.0
apple.stackexchange.com,2010-03-01,18.0
apple.stackexchange.com,2010-04-01,8.0
apple.stackexchange.com,2010-05-01,4.0
apple.stackexchange.com,2010-06-01,18.0
apple.stackexchange.com,2010-07-01,738.0
apple.stackexchange.com,2010-08-01,2256.0
apple.stackexchange.com,2010-09-01,2320.0
apple.stackexchange.com,2010-10-01,1484.0
apple.stackexchange.com,2010-11-01,1690.0
apple.stackexchange.com,2010-12-01,1948.0
apple.stackexchange.com,2011-01-01,3020.0
apple.stackexchange.com,2011-02-01,3296.0
apple.stackexchange.com,2011-03-01,3290.0
apple.stackexchange.com,2011-04-01,3628.0
apple.stackexchange.com,2011-05-01,3278.0
apple.stackexchange.com,2011-06-01,3066.0
apple.stackexchange.com,2011-07-01,4718.0
apple.stackexchange.com,2011-08-01,7494.0
apple.stackexchange.com,2011-09-01,4630.0
apple.stackexchange.com,2011-10-01,5654.0
apple.stackexchange.com,2011-11-01,4660.0
apple.stackexchange.com,2011-12-01,4076.0
apple.stackexchange.com,2012-01-01,6284.0
apple.stackexchange.com,2012-02-01,5480.0
apple.stackexchange.com,2012-03-01,8562.0
apple.stackexchange.com,2012-04-01,5290.0
apple.stackexchange.com,2012-05-01,4170.0
apple.stackexchange.com,2012-06-01,4430.0
apple.stackexchange.com,2012-07-01,5944.0
apple.stackexchange.com,2012-08-01,6322.0
apple.stackexchange.com,2012-09-01,5034.0
apple.stackexchange.com,2012-10-01,5454.0
apple.stackexchange.com,2012-11-01,4926.0
apple.stackexchange.com,2012-12-01,4752.0
apple.stackexchange.com,2013-01-01,4836.0
apple.stackexchange.com,2013-02-01,4902.0
apple.stackexchange.com,2013-03-01,5300.0
apple.stackexchange.com,2013-04-01,3950.0
apple.stackexchange.com,2013-05-01,3876.0
apple.stackexchange.com,2013-06-01,3540.0
apple.stackexchange.com,2013-07-01,3518.0
apple.stackexchange.com,2013-08-01,4528.0
apple.stackexchange.com,2013-09-01,4884.0
apple.stackexchange.com,2013-10-01,6150.0
apple.stackexchange.com,2013-11-01,5220.0
apple.stackexchange.com,2013-12-01,5232.0
apple.stackexchange.com,2014-01-01,5882.0
apple.stackexchange.com,2014-02-01,5050.0
apple.stackexchange.com,2014-03-01,5274.0
apple.stackexchange.com,2014-04-01,4854.0
apple.stackexchange.com,2014-05-01,5018.0
apple.stackexchange.com,2014-06-01,4810.0
apple.stackexchange.com,2014-07-01,4380.0
apple.stackexchange.com,2014-08-01,4544.0
apple.stackexchange.com,2014-09-01,5592.0
apple.stackexchange.com,2014-10-01,7632.0
apple.stackexchange.com,2014-11-01,6498.0
apple.stackexchange.com,2014-12-01,6756.0
apple.stackexchange.com,2015-01-01,6502.0
apple.stackexchange.com,2015-02-01,5628.0
apple.stackexchange.com,2015-03-01,6022.0
apple.stackexchange.com,2015-04-01,6070.0
apple.stackexchange.com,2015-05-01,6146.0
apple.stackexchange.com,2015-06-01,6198.0
apple.stackexchange.com,2015-07-01,6376.0
apple.stackexchange.com,2015-08-01,6360.0
apple.stackexchange.com,2015-09-01,6316.0
apple.stackexchange.com,2015-10-01,7410.0
apple.stackexchange.com,2015-11-01,5630.0
apple.stackexchange.com,2015-12-01,5698.0
apple.stackexchange.com,2016-01-01,5582.0
apple.stackexchange.com,2016-02-01,5062.0
apple.stackexchange.com,2016-03-01,5648.0
apple.stackexchange.com,2016-04-01,4660.0
apple.stackexchange.com,2016-05-01,4858.0
apple.stackexchange.com,2016-06-01,4476.0
apple.stackexchange.com,2016-07-01,4672.0
apple.stackexchange.com,2016-08-01,4534.0
apple.stackexchange.com,2016-09-01,6422.0
apple.stackexchange.com,2016-10-01,6400.0
apple.stackexchange.com,2016-11-01,5484.0
apple.stackexchange.com,2016-12-01,5450.0
apple.stackexchange.com,2017-01-01,5952.0
apple.stackexchange.com,2017-02-01,4890.0
apple.stackexchange.com,2017-03-01,5092.0
apple.stackexchange.com,2017-04-01,4546.0
apple.stackexchange.com,2017-05-01,4484.0
apple.stackexchange.com,2017-06-01,4522.0
apple.stackexchange.com,2017-07-01,4496.0
apple.stackexchange.com,2017-08-01,4244.0
askubuntu.com,2008-07-01,0.0
askubuntu.com,2008-08-01,0.0
askubuntu.com,2008-09-01,0.0
askubuntu.com,2008-10-01,0.0
askubuntu.com,2008-11-01,0.0
askubuntu.com,2008-12-01,0.0
askubuntu.com,2009-01-01,6.0
askubuntu.com,2009-02-01,14.0
askubuntu.com,2009-03-01,0.0
askubuntu.com,2009-04-01,0.0
askubuntu.com,2009-05-01,2.0
askubuntu.com,2009-06-01,0.0
askubuntu.com,2009-07-01,10.0
askubuntu.com,2009-08-01,0.0
askubuntu.com,2009-09-01,0.0
askubuntu.com,2009-10-01,0.0
askubuntu.com,2009-11-01,2.0
askubuntu.com,2009-12-01,4.0
askubuntu.com,2010-01-01,2.0
askubuntu.com,2010-02-01,0.0
askubuntu.com,2010-03-01,0.0
askubuntu.com,2010-04-01,0.0
askubuntu.com,2010-05-01,8.0
askubuntu.com,2010-06-01,0.0
askubuntu.com,2010-07-01,1044.0
askubuntu.com,2010-08-01,4900.0
askubuntu.com,2010-09-01,2864.0
askubuntu.com,2010-10-01,9794.0
askubuntu.com,2010-11-01,8784.0
askubuntu.com,2010-12-01,6934.0
askubuntu.com,2011-01-01,7894.0
askubuntu.com,2011-02-01,7114.0
askubuntu.com,2011-03-01,7314.0
askubuntu.com,2011-04-01,9266.0
askubuntu.com,2011-05-01,12274.0
askubuntu.com,2011-06-01,8144.0
askubuntu.com,2011-07-01,6268.0
askubuntu.com,2011-08-01,6970.0
askubuntu.com,2011-09-01,7034.0
askubuntu.com,2011-10-01,15462.0
askubuntu.com,2011-11-01,15324.0
askubuntu.com,2011-12-01,11556.0
askubuntu.com,2012-01-01,12958.0
askubuntu.com,2012-02-01,12526.0
askubuntu.com,2012-03-01,12674.0
askubuntu.com,2012-04-01,15986.0
askubuntu.com,2012-05-01,22558.0
askubuntu.com,2012-06-01,19640.0
askubuntu.com,2012-07-01,17832.0
askubuntu.com,2012-08-01,17772.0
